"","logFC","logCPM","LR","PValue","FDR"
"Bra018309",3.09261151420254,7.19420881966466,225.848291449407,4.79508358666705e-51,4.88326436109982e-49
"Bra006627",7.46517260953365,2.86431624542903,225.670491077635,5.24293625468468e-51,5.3168240483161e-49
"Bra039518",8.80887052384392,2.89651970665723,225.360443370875,6.12627564520651e-51,6.18650877549972e-49
"Bra002037",6.39120748264127,3.25674453470863,224.774705538061,8.22144393546728e-51,8.26753906046112e-49
"Bra020047",-2.91026934986717,5.04959346437886,224.229759271811,1.08094644285164e-50,1.08247778364568e-48
"Bra001825",-4.73854751994629,3.75478095247123,223.753080378417,1.37332004829973e-50,1.36955908883135e-48
"Bra018154",7.05828529295349,3.13235457278682,222.89267334557,2.11561217798161e-50,2.10110012750454e-48
"Bra038617",-6.7408264387842,2.46790970288798,222.628189156906,2.41614851197734e-50,2.38970013731948e-48
"Bra000125",3.22564392592716,4.75734341046751,222.041935725595,3.24335492300956e-50,3.19470459916442e-48
"Bra022142",6.59228226244588,4.76397160424427,221.892053170526,3.49692562433129e-50,3.43041267163993e-48
"Bra011549",4.95918947902262,3.06176363466703,221.319857535298,4.661147354097e-50,4.55390306944583e-48
"Bra031755",-8.28621540088656,2.25765144334687,220.426048118746,7.30217156462602e-50,7.10527900340979e-48
"Bra003707",5.18954187504792,4.35276952882025,219.505391650154,1.1595001890528e-49,1.12368659450383e-47
"Bra025969",5.3538802307721,2.9987627609545,219.157784129338,1.38068280022759e-49,1.33266387231606e-47
"Bra021285",4.53186435726083,3.73797685954724,219.087418688763,1.43035120001081e-49,1.37508242964239e-47
"Bra008282",-3.56825029745933,3.77202162539015,218.886524800677,1.58220832475602e-49,1.51501174809507e-47
"Bra026910",-3.98311529934265,3.06971717330356,218.528626772232,1.89379254131851e-49,1.80616706103369e-47
"Bra011149",2.32510263825138,5.39587714468434,218.068198319462,2.38653093069102e-49,2.26711005487067e-47
"Bra030455",3.48324656834449,4.54851386706107,217.645490265627,2.95103597799419e-49,2.79233065728788e-47
"Bra024518",4.19323765025046,3.87943954377511,217.489780949254,3.19109963550507e-49,3.00764269175407e-47
